fitness from FF 5.415528261232647
oleoyl_C13b -0.106234 -0.0575680496552523 0.005007831068997703 0.048665950344747695
oleoyl_C14a -0.0943887 -0.056030384225917905 0.0057625520710096545 0.0383583157740821
oleoyl_C14b -0.0943887 -0.05202288956173306 0.004464802210787947 0.04236581043826695
oleoyl_C15a -0.0943887 -0.05516993668139874 0.005202790138752886 0.03921876331860127
oleoyl_C15b -0.0943887 -0.04879581409740394 0.004205713103668232 0.04559288590259607
oleoyl_C16a -0.0899483 -0.0403252396655416 0.0031565173146920963 0.049623060334458395
oleoyl_C16b -0.0899483 -0.03925041974107116 0.0029812356440877402 0.05069788025892884
oleoyl_C17a -0.0669979 -0.03217667706476599 0.002396609208548479 0.03482122293523401
oleoyl_C17b -0.0669979 -0.0310235027359515 0.0024645366286401805 0.0359743972640485
oleoyl_C18a -0.0181358 -0.013111550517955881 0.0015688473111390353 0.00502424948204412
oleoyl_C18b -0.0181358 -0.010971123819257824 0.0015489931202136461 0.0071646761807421765
oleoyl_C18c -0.0181358 -0.013361030707860546 0.001307739823873659 0.004774769292139455
final fitness 1.6477446489260055
